start	end	text
0	15100	leading to his first paper, which is affiliated with the Department of Genetics here at UGA.
15100	21300	The Green Lab develops machine learning methods to integrate disparate large-scale datasets,
21300	26020	develops deep learning methods for extracting contacts from these datasets, and then brings
26020	32140	these capabilities to molecular biologists through open and transparent science.
32140	38580	Of particular note to folks interested in large language models, like CHAT-GPT, Dr.
38580	44260	Green and others recently posted a preprint on how AI might be able to help us write and
44260	47420	revise our academic manuscripts.
47420	54420	Please join me in welcoming Dr. Casey Green to UGA.
54420	64700	Okay, thank you, yeah, it's good to be back.
64700	69380	I actually spent a summer working in this building in the Department of Genetics.
69380	71860	Everything around this building looks different now, but somehow the building still looks
71860	74500	the same.
74500	79980	I'm excited to get a chance to share some of what we've been doing in our group and
79980	83140	then to share some of what's going on at the University of Colorado and sort of give you
83140	87980	an idea of what the ecosystem is like where we are.
87980	94180	I think it's always important to think about kind of what our role as informaticists in
94180	100140	science is, like what do we bring to the ecosystem, and I like to think of what we contribute
100140	102900	as essentially serendipity, right?
102900	106580	If we do our jobs well, people will see something in their data that they hadn't seen before,
106580	109020	and they will make a different decision based on that.
109020	115540	So I like to, you know, think about how we can make more kind of serendipitous moments.
115540	122940	I'll start with a brief vignette of a project that we started quite a few years ago now
122940	127860	trying to understand rare diseases.
127860	133500	And in particular, what factors might drive a rare, what systemic factors might drive
133500	136340	a rare disease.
136340	142260	The world when we started this project was one where looking across multiple data sets
142260	144460	remained somewhat challenging.
144460	148980	It's time consuming, you have to deal with batch and technical artifacts.
148980	153380	And so our question when we started, a postdoc joined the lab and the idea was, well, you
153380	155180	know, here's the gap that we're facing.
155180	160060	If you want to analyze multiple data sets at the same time, to identify systemic factors,
160060	164180	that means you're looking at different tissues, probably looking at different cohorts, there's
164180	168060	potentially different disease contexts, might be different controls.
168060	170900	All of this makes your life a lot harder, you can't just kind of make an assumption
170900	175100	that you're going to do three different t tests and be done with it.
175100	179980	And so what this postdoc wanted to do was say, okay, can I find these commonalities
179980	183180	without it taking an inordinately large amount of time.
183180	187780	And she was very interested in not taking an inordinately large amount of time because
187780	194300	the strategy that she used in her PhD, before she joined the group, was developed, she developed
194300	197740	this approach using a modular framework to analyze these data sets, where you essentially
197740	203220	take different data sets, decompose them into modules, and then try to map a module in one
203220	207100	data set to a module in another data set to a module in another data set.
207100	211220	This is possible, if you're an expert in the disease, and you're an expert in all the tissues
211340	216340	that sort of are affected, you can do this, you can say, okay, this is this pathway response
216340	219740	in this tissue, and this is this other pathway response in this other tissue, but it's really
219740	220740	time consuming.
220740	227460	And the complexity grows essentially, with at least the square of the number of modules
227460	228460	that you want to look at.
228460	231380	So you sort of restrict yourself to a modest number of modules if you want to do this in
231380	233580	any practical amount of time.
233580	237060	There are potentially ways to automate this, you know, using over representation analysis
237060	240940	or other strategies to try to, you know, make life easier on the mapping stage, so you don't
240940	244220	spend a lot of time looking at stuff that's unlikely to be fruitful.
244220	250100	But either way, it's challenging, it takes a bunch of time and it requires a lot of expertise.
250100	255980	So what Dr. Jacqueline Tironi did was say, well, what I really want is a module library,
255980	261220	like how could this process or cell type be represented in any data set that I look at,
261220	266100	I'd like to be able to pull that off the shelf, and then take that module library to different
266100	270180	data sets, and then look at each of those data sets in terms of those modules and just
270420	271580	look directly across those modules.
271580	277500	I don't have to now sort of do the module connection after the fact, I can do it upfront.
277500	281460	This would be great, wouldn't it be great if.
281460	286220	And so her hypothesis was that, you know, these modules don't just exist in one data
286220	288180	set, they exist across human biology.
288180	294540	So could she, so her hypothesis was that she would be able to learn these reusable modules
294540	298700	by taking many, many, many different data sets, decomposing those different data sets
298700	304260	into modules, and then sort of learning which modules were necessary to reconstruct the
304260	306180	original data.
306180	310180	And then once she did that, she could do that on a generic collection of data, and then
310180	312860	hopefully be able to use that on her data sets of interest.
312860	317580	And in this case, we're interested in studying a disease called Enka-associated vasculitis,
317580	322060	which is rare enough that if you look at large collections of public RNA-seq data, you don't
322060	323680	find it.
323680	328100	So it's quite a rare disease.
328500	331700	So the idea here was, if she took a whole bunch of generic samples, essentially random
331700	335900	human data that she downloaded from the internet, transcriptomic data, she decomposed that,
335900	339620	she could decompose that into patterns, and then she could take those patterns and we
339620	342980	could apply those to the rare disease data sets of interest, and potentially do sort
342980	345940	of standard statistics with that.
345940	352500	We, just to give you an idea of the data set that we started with, so this is a data set
352500	356100	ReCount 2, I think there's now a ReCount 3.
356100	359220	This is produced by Jeff Leak's group at Hopkins.
359220	364660	And if you wanted 70,000 RNA-seq samples, you can just get 70,000 uniformly processed
364660	365660	RNA-seq samples.
365660	371140	What I like to tell Jackie is that her project had to be successful, because if you think
371140	374260	about the resources we were giving her to start it, if you just benchmark that those
374260	378780	samples probably cost about $1,000 to generate, you know, I like to tell her, look, we gave
378780	382460	you $70 million to start your project, you have to do something with $70 million, right?
383460	389300	So, this was the data that we used, and then we tried quite a few different methods to
389300	394300	extract patterns, including some that we developed in our group, but we ended up coming to this
394300	399260	method called PLYR, which is from Maria Shakina's group at Pitt.
399260	404340	And PLYR is the Pathway-Level Information Extractor, and it does a couple things that
404340	405340	are really nice.
