start	end	text
0	12240	It's my pleasure to introduce Dr. Jafet Gado.
12240	18500	He is currently a postdoctoral researcher at the National Renewable Energy Laboratory
18500	24600	working as part of the Bio-Optimized Technologies for Keeping Thermoplastics Out of Landfills
24600	30280	and the Environment, or BOTTLE for short, project, working on using machine learning
30280	36440	to identify and engineer plastic degrading enzymes.
36440	40800	And as part of that, he's currently a visiting researcher at Harvard Medical School working
40800	43440	on part of the same project.
43440	49080	Before this, he got his PhD at the University of Kentucky working on cellulose degrading
49080	54360	enzymes and using machine learning to figure out those enzymes.
54360	60360	And before that, he did his bachelor's degree in chemical engineering at Amadou Fellow University.
60360	65360	So if everyone can welcome Dr. Gado, we'll get started.
65360	72400	Hi, good to see everyone's faces.
72400	80720	And yeah, I remember not too many days ago, I was a graduate student sitting and then
80880	82640	listening to presentations like this.
82640	88720	And I would say, oh, I'll never understand, you know, they look so strange.
88720	92280	So while I was preparing this, I had that in mind.
92280	96400	I was like, I hope I will I will present in a way that everyone can understand.
96400	98400	Yeah. But thank you for having me.
98400	104640	I am I'm excited to be here and just to talk about my work with you.
104640	111400	So let's get into machine learning for discovery and engineering of plastic degrading enzymes.
114480	123880	Everyone here, I believe, is familiar with the problem with plastics and the global crisis of plastic pollution.
123880	132480	We've seen images like this where you have plastics and oceans and landfills and all that.
132480	140280	And it's even beyond just plastics polluting our environment to plastics getting into places where we don't even think they would get into
142040	144040	protected areas in the United States.
144840	154000	National forests and wilderness are contaminated with plastics because microplastics are taken there by wind and rain.
154440	166360	Deep in the ocean, we see plastics in coral reefs and this has been associated with disease so that there's a higher likelihood of disease where you have coral reefs with
167040	174640	plastic contamination. And we have microplastics in the human body as well and the bloodstream and so on. And this leads to all kinds of disease.
174960	181000	And we know that there is a need to redefine how we use plastics and how we work with them.
181120	187360	Also, very importantly, the life cycle of a plastic item like this bottle
188280	200240	is quite long. It's about 500 to 700 years to begin degrading it. So every time I order Chinese, I like to think of the fact that my great, great grandchildren, actually my great, great, great, great, great grandchildren
200560	203920	will be going to school, assuming that the world, hopefully, is
203920	210520	the way it is today, and they will still have these plastic waste in the environment. So it's
211240	220040	important that we redefine how we use plastics. So a concept that we think about is what's called a circular plastics economy.
220680	226200	And the plot on the top left, you see that plastic use has been going up as
226200	228360	human population has been increasing, and as
229400	236240	globalization is becoming a stronger phenomenon, we see plastic use exponentially going up. And
237120	245920	a lot of what we do is a linear economy, where we take plastics from petroleum and the ground, and then we make the plastics. And when we're done with it,
246240	252640	we eat one meal, 15 minutes, and then we throw it into the environment. And that is, that's a really awful way to
252640	263080	work with plastics. Doing that, we're only going to accumulate the waste in the environment until we kill ourselves, or something like that. But a better idea is a circular economy, where we
263440	274600	don't get any more plastics from petroleum, but we only use what's available now. And then we regenerate the waste in a way that's circular, so that we make new plastics from
274600	284000	the waste. Current recycling methods enable what is only a pseudo-circular economy, because with each recycling
284920	287920	process that you go through, the plastics
289120	294600	have much lower quality, so the mechanical structure is compromised. And what that
294600	303200	results in is that after several iterations of recycling, you end up with plastic that's virtually worthless, and it goes back into the environment. So it's just a delay in
303840	319840	the linear process. And the key to a circular economy is to break the plastics into the monomeric forms, rather than mechanical recycling. And then we can use this monomeric forms of the plastic polymer to generate new plastics, like
320120	320800	virgin material.
322320	337240	And to solve this problem of plastic deconstruction into monomeric forms, a very productive or promising way is to use enzymes. One, we know that enzymes can break down polymers. We see this in nature.
337240	341560	We see biomass, skutin, polysaccharides, and so on, broken down by
343760	349000	enzymes. And plastic polymers resemble chemically, they resemble
350080	359600	biomass polymers or polymers in nature. It's not surprising, it's not too surprising that the enzymatic machinery that can break down or deconstruct
359720	377200	biological polymers can also break down synthetic man-made polymers. And so the idea is to, you know, find enzymes that are able to carry out the ester, to break the ester bonds and other similar bonds in plastic waste.
377320	385720	So for the plastic that makes plastic bottles, it's used to make plastic bottles, polyethylene terephthalate or PET as it's called.
387520	396400	There is a bacterium that was found in 2016 called Adrenalis hackeansis. And this bacterium surprisingly grows purely on
396400	409760	PET as its sole carbon source. And it does this by utilizing two enzymes, PETase and METase. PET breaks down the PET polymer structure into the
409760	425680	bi and mono forms, BHET and MHET as they're called for short. And then METase breaks down MHET or hydrolyzes MHET into TPA and ethylene glycol. And then terephthalic acid and ethylene glycol are simulated in the organism, in the organism's retinobolic pathway for energy.
425680	451720	And then these, if you can see from the plot, the right there, the PETase enzyme led to a greater release of aromatic products as TPA and ethylene glycol compared to other similar hydrolyses.
452440	462640	And this sort of opened the door for very exciting research on how can we find PET hydrolysis like PETase that can carry out this reaction.
465280	469960	We also see that this PET hydrolase enzymes are found in
470960	485960	the super family of alpha beta hydrolases. And they are similar to some of these well-known and well-studied alpha beta hydrolases like carboxyl esterases, cutanases, lipases, and so on. And this phylogenetic tree shows
487800	495840	you can see a cluster of where most of the PETases are found at the top. And there are also several sort of evolutionarily distant but still related
496160	500480	PETases or PET hydrolyses that are similar.
502440	508760	Interestingly, we realized that sequence identity is not a good predictor of activity.
509440	518200	So you could have enzymes that are very similar to known PETases that do not retain activity. For example, the two enzymes on the right, you have
519080	526720	611, the name of the enzyme, and 610. One is active, one is inactive, and they're 85% identity. Their structures virtually overlay
527320	535720	practically on one another. You have similarly 601 and 604. One is active, one is not, 74% identity. And on the other hand, you have
536360	545120	enzymes that are very different structurally and otherwise, as low as 14% identity and one retains activity and the other does not.
545600	562920	So the simplest approach, which would be to just take the known PETases and do a BLAST search and pull up sequences and then go test the similar enzymes, would not be a good approach because sequence similarity or sequence identity is not a good prediction method.
563640	574080	And so researchers have looked at other methods that can help identify what active PETases are. And
574880	582440	the current state of the art is to use profile of hidden Markov models. So hidden Markov model, if you're familiar with such models, they are, they describe
582960	589200	a protein sequence or protein sequence alignment as a Markov process and their associated
589720	604800	emission probabilities with each state of the amino acids and insertions and deletions. So that, in essence, what you're asking in a rather simplistic way is, how does a sequence compared to the overall distribution of
605640	612080	the profile, giving the amino acids that occur at each position, as well as insertions and deletions. And
613000	621240	this paper published in 2018, they took, I think, eight known PETases at the time and they aligned them and then they showed the
621680	626160	profile. And you can see that there are some positions where you have strong conservation
626560	644760	of specific residues. And the hypothesis was that profile HMMs will capture these important positions and a search of sequence databases with profile HMM will identify, at the very least, proteins that are similar to known PETases, particularly at conserved positions.
645560	665560	And we have used this hidden Markov model method, as well as with machine learning, to identify novel thermostable PET hydrolysis. And this paper was recently published in Nature Communications. So I will talk about some of the work that we've done here, as well as ongoing work that's not yet published.
665560	693560	Our search methodology was to take the vast sequence database. We used NCBI non-redundant database and select thermal metagenomes from JGI. And we had about 220 million proteins that we're searching. And to search using hidden Markov models, as well as a support vector regression, a support vector classification model to predict thermostable PET hydrolysis.
693560	718560	And then to screen those and select for, or to screen those for PET hydrolysis activity. And we're particularly interested in high temperature proteins, because at higher temperature, closer to the glass transition temperature of PET, you have increased accessibility of the enzyme to the substrate.
719560	728560	So hypothetically, you would have improved performance or improved catalytic performance. So we wanted to identify proteins or enzymes that could withstand higher temperatures.
728560	744560	So at the time I did this work, and I was a graduate student at the time, there were 17 known PET excesses. So I just called them PET 1 to 17, because I like life and I want to be organized.
745560	758560	And here you see an alignment of these 17. There are some of them, I'm just showing regions of an alignment. And there's some regions where you have either insertions, lots of insertions, because you have a loop somewhere in that region.
758560	775560	But overall, despite the fact that you have evolutionary distance sequences, some regions align specifically well. And we took special time in curating the alignment. So we used, I tried different alignment methods, and I picked the alignment methods that I thought had the best,
778560	785560	the best performance in aligning, particularly the conserved residue. So the active site triad of the ion and holes and things like that.
786560	799560	And we took this heated molecule model and then searched the sequence databases, about 250 million of them. And we returned, at the threshold that we set, we had about 3,500 hits.
800560	809560	So the next thing was we wanted to select a smaller size of this hits that were predicted to be thermostable. And to predict thermostability,
810560	818560	we're looking at how active is the enzyme at higher temperatures. A good measurement of that is the optimum temperature of activity.
819560	830560	That's you evaluate activity at different temperatures and at the temperature at which you have maximum activities, the optimum temperature of activity. And from the literature, we see that the optimum temperature of activity correlates with
832560	844560	the organism growth temperature. So organisms that are thermophiles or grow in high temperature environments tend to have proteins that are thermostable and their enzymes have optimum activity at higher temperatures.
844560	855560	And the absence of optimum temperature data, we decided to use optimal growth temperature of the organism as a proxy to predict thermostability of the proteins.
859560	863560	And for sequence features, we decided to use
864560	874560	the sequence rather than the structure to predict thermostability because we wanted to do this in a high throughput fashion. And I first did a sample screen of
876560	885560	different features to see what features correlate with the activity or with the thermostability. And I'm showing here just a few
886560	896560	sequence features. And interestingly, we found that the composition of the amino acids, particularly relative composition, so aspartate relative to glutamate and so on,
897560	909560	predicts the thermostability and every additional feature beyond the composition only provides marginal improvement in the performance. For our data set, we retrieved
910560	926560	proteins based on the environment of the organism. So we had 8,000 sacrophilic, mesophilic, thermophilic and hypothermophilic. And it's 8,000 because we wanted to have a balanced class. So we just took the smallest class and then discarded the proteins from the other class.
927560	942560	And we looked at different methods for predicting thermostability, different classification methods. Is this a binary classifier? Is giving a protein, is this thermophilic or hypothermophilic or is it mesophilic?
943560	963560	And then we found that the support vector classifier compared to other methods, including k-nearest neighbor and random forest and so on, performed best. This is on GitHub currently. So it's a simple, easy to use code that can be applied to screening protein sequences.
964560	984560	And you also notice that the accuracy of the methods, since these are based on amino acid features, the accuracy sort of correlates with the length of the sequence. Because as the sequence length increases, you have more confidence in the dipeptide composition and so on, and the amino acid features.
985560	1003560	This is the performance on a separate test data set, which the model did not see in training and validation. And overall, you see that there's about an 80% accuracy in predicting whether it's in one thermostability class or the other.
1004560	1023560	And going forward, we took the thermo approach of the thermostability prediction model and apply that to the 3,500 hits that we had. And most, as you'd expect, would be mesostable. There are only a few thermostable proteins in the databases.
1024560	1042560	We narrowed this down to about 74. And then we screened the 74 in vitro for activity on PET. And we looked at different temperature and different pH to understand the diversity of the variability of the activity as a function of the experimental conditions.
1043560	1056560	And the darker colors indicates greater activity, the lighter colors indicate low activity. And there's some enzymes like LCCI-CCG that were previously described that retained, that demonstrated really high activity.
1057560	1082560	And the enzymes that we found, we named them according to the phylogenetic clades that they fall into. There's 101 belonging in clade 1 and 2, 1 in clade 2, and so on. And you see that most of these are of low activity than the canonical LCCI-CCG, but some of them, particularly those in group 7, at specific temperature regions demonstrate similar activity.
1083560	1098560	On the top left, I show a phylogenetic tree of these 74 enzymes. And we started with 220 million, of course. I say 250 million before, and I was rounding up.
1098560	1104560	It's nice to say quarter of a billion instead of 220 million.
