start	end	text
0	29120	My pleasure to introduce Professor Yang, who joined UGA last semester and as a class chair
29360	34960	of ecology, mathematics, and statistics, but he doesn't have any commitment to
35920	45120	or ecology. So this seminar also serves for his application for the adjunct position with IOB.
45120	53760	So if you're a student and looking for lab, you may want to talk to him. His major research area
53760	60960	is infectious disease, and he is a statistician modeling for infectious disease. As you know,
60960	68000	to understand infectious disease, we need the knowledge in ecology, population genetics,
68000	75600	molecular genetics, to understand evolution of pathogens, and mathematics, you know,
75600	81520	as well as statistics. So it's very hard to find an expert in all of those areas,
81520	87840	and here we go. Professor Yang, so if you're interested in doing research in infectious
87840	98160	disease, you probably want to talk to him. He has a lot of grants. He's already published over 100
98160	106400	papers, and this is, believe me, this is just the first page of his CV. So I cannot read out
106480	117200	all the CVs. It's 19 pages. So he, let's see. Sorry, I'm aging, so I cannot see that. So he
117200	130240	got his PhD in 2004 from Emory, and he did his postdoc at Howard, right, so for the following
130240	140560	year, and then he worked at Brad Hutchinson Cancer Center, and then he moved to University
140560	147600	of Florida, and last semester, he joined again. So today, he's going to talk about epidemiology
147680	155520	and ecology of Middle East Respiratory Syndrome coronavirus.
162160	166480	Okay, good. Thank you, Liang, for this nice introduction and over compliment.
167040	176160	I'm not expert in everything, and I mainly specialize in modeling of infectious disease
176160	183280	transmission, and just started working with Dr. Liu on how to combine the epidemiological part
183280	190000	and the physiological part into the same model so that we can better model the dynamics of
190000	197200	transmission. Today, I'm going to talk about epidemiology and the ecology of MERS-CoV.
199440	204560	If you read the flyer before, I changed my title a little bit. I used to have
204560	211360	transmission as well, but I found myself too many. I had to cut some, so I moved that one out.
212000	214960	So today, we'll only be talking about epidemiology and the ecology.
216080	223280	Hopefully, you will be interested in these topics. So this is during the work with Dr.
223280	230720	Yichun Fang and Wenqiang Shi at Beijing Institute of Microbiology and Epidemiology, as well as Dr.
230800	236240	Anna Zhang at Shandong University. Anna was a business student in my lab at UF.
237360	242400	That's when she was leading this project, part of this project.
243920	246720	Please feel free to stop me anytime if you have any questions.
247360	251360	So some background about the disease and the pathogen as well.
253040	257120	You're probably quite familiar with this disease because of the pandemic of SARS-CoV-2.
259120	266400	MERS is a respiratory infection disease first found in the kingdom of Saudi Arabia.
267200	276640	As of January this year, there were a total of 27 countries that have reported about 2,600
276640	284880	lab-confirmed cases, together with 935 deaths. So that's a pretty good number.
285840	296240	That has reported about 2,600 lab-confirmed cases, together with 935 deaths. So that's a
296240	300960	pretty high case fatality rate. We use the CMR of about 36%.
303440	309440	Luckily, human-to-human transmission is pretty rare, and many occurred in healthcare settings
309440	317360	and households. And in healthcare settings, it's pretty much patients who are immune-compromised.
317360	320720	So that's why they are at high risk of transmission.
322160	327280	And the zoonotic infection is mainly driven by exposure to the dummy debris,
327920	335600	wire droplets, fomites, and consumption of some raw products of this animal, such as milk.
336320	341280	And people also suspect the use of chemical urine as a traditional medicine is another
341280	351280	transmission route. And given that there has been no effective treatment or vaccine yet,
351280	356880	so people are very concerned about the potential of this virus causing another global pandemic
356880	364720	if it's fully adapted itself to the human population. And in 2018, WHO incorporated MERS
364720	372480	into its research and development blueprint, which lists a variety of disease pathogens
372480	378080	that people will spend more time developing vaccines toward those pathogens.
385280	393120	And about the virus itself, it's an RNA virus with a genome about 30 kb long.
395520	406480	And MERS-CoV belongs to the lineage C of the genus beta coronavirus. The famous or infamous
406480	413440	SARS-CoV and SARS-CoV-2, they belong to the lineage B. And the common code coronaviruses,
413440	420800	OC43 and HKU1, they belong to the lineage K. So they're related, but a little bit distant
420800	430400	from each other. MERS-CoV was phylogenetically classified into clade A and clade B. A includes
430960	437920	the early detected human cases, viruses, and B includes the more contemporary viruses.
437920	445440	But however, this classification was based on a pretty few number of sequences. So we've done
445440	449280	a much more comprehensive work on this, and we'll show that later.
452960	459600	Although the disease was quite new, but circulation of MERS-like coronaviruses
463280	470080	in Africa and the Arabian Peninsula occurred well before 2012.
471040	478640	And a little bit about the immunity background of this virus. The virus used the S1 protein
478640	487360	to bind to two types of host cell surface molecules. One is called the DPP4, and the other
487360	495280	is the well-known alpha-2 or alpha-3 astatic acids. And it replicates mainly in the nasal
495840	505680	epithelium of dromedaries, but only in the lower respiratory tract of humans. So that's probably
505680	513360	why it's so highly transmissible among the dromedaries, but not so much among human beings.
516320	520480	All right, so that's enough for the background. Let me get into the needs.
520800	528480	We'll try to identify determinants for case fatality rate and also characterize the spatial
528480	534480	division pattern of the disease. And we want to also look at evolution and migration history
534480	541840	of the virus. Finally, we'll provide some more comprehensive picture about the ecology of the
541840	548000	virus. And we'll also look at the evolution and migration history of the virus, and we'll also
548000	553920	picture about the ecology of the virus and associated socio-environmental drivers.
554960	559440	But this talk has two parts. The first two are part one, and this is part two.
570720	574160	So in this slide, I talk about the data sources.
574960	581760	We first collected data on all confirmed human cases, and there are three major sources for that.
583040	592080	We looked at the official reports of WHO. Now, WHO does not provide the line list it used to.
592080	599120	So we were lucky. At that time, we got a line list. And the Food and Agriculture Organization
599680	606000	of the United Nations, as well as the health departments of affected countries.
607600	613680	So we collected demographic data whenever it's available, and the dates of
615600	622000	critical events, like the onset, hospitalization, and the lab confirmation.
623360	628160	The most important one is to explore your history, but it's very simple. It's just whether
628160	638880	the case has had a history of exposure to animal production or other confirmed patient.
639600	648960	And we validate this data via literature research. We also collected a bunch of socio-environmental
648960	656480	variables, which are listed here, and we'll utilize them, especially using, for example,
656480	664720	meteorological data and land cover data for ecology study. The gene sequence data were
664720	672720	downloaded from our gene bank, and we used data up to the June of 2020, and that's also
673280	678880	the time upper limit for the case data we downloaded.
687360	693360	This is an epidemic curve actually provided in the WHO report, and it only listed cases
694240	703200	in the eastern Mediterranean region. It's not for the whole world, but because we want to
703200	711520	check the seasonality, so we decided to focus on the endemic in the zoonotic region instead of the
711520	720640	local region. And it covers from June 2012 to January 2023. This is more comprehensive than
720640	728000	the data that we used. We used up to June of 2020, but luckily there weren't many cases after that.
729920	735040	I mentioned it was first discovered in September 2012, but you can see here,
735040	738960	actually the earliest case shown here can be traced back to early
738960	743440	2012, so there could be some cases retrospectively identified.
745360	751360	All right. Majority of these cases from Saudi Arabia. That's understandable. Everyone knows that.
752640	761520	And we see a huge peak in 2014 and some subsequent large outbreaks in 2015.
761520	767680	And you can also see there were about two peaks per year and sometimes three peaks
769440	778480	right. One in the early spring and the other one probably in the late summer or early fall.
779600	788000	And the early ones in the spring, it's more like an animal exposure in a triggered spinoma.
788000	802320	So here is a summary table of the kind of baseline characteristics of all the
802960	807040	worst cases we included in our study covering this period.
807760	814240	Right. And I colored some of these interesting results.
817200	823120	In Saudi Arabia, it has far more number of cases as well as number of deaths
823120	829920	compared to other countries. And if you look at the CFR, it's also much higher than other regions.
830720	834240	In South Korea, I should say South Korea, sorry for that,
835840	845280	the number of female patients were much higher than other countries.
847040	851840	That's possibly due to, because in Korea, if you know the history of MERS,
851840	857040	there was a big outbreak in, if I remember correctly, it was in 2015.
858000	866400	It's kind of driven by one single imported case. And that patient kind of stimulated large outbreaks
866400	872480	in several hospitals. So it's purely kind of a person-to-person transmission. And in that case,
873040	878960	it doesn't really distinguish between different sexes, right? But for animal exposure, we'll see
879440	887920	later, most of the patients with animal exposure are men. And so that will make some difference.
888720	898720	And in these countries, KSA, UAE, and some other countries, the majority of patients are male.
899600	905600	And South Korea also has a very large percent of hospital-related
906720	912080	patients. And that's exactly because we only had hospital outbreaks in that country.
914480	922320	And the time from disease onset to diagnosis was shortest in South Korea. And that's also
922320	927280	understandable because those were hospital-triggered investigations. They are very efficient, right?
